Date,Location,Series_Complete_Cumulative
10/11/2021,MH,20132
07/21/2021,DE,519281
10/15/2021,PA,7223612
11/29/2021,MN,3541287
01/31/2021,SD,36028
12/15/2021,OK,2085687
09/06/2021,RI,705818
01/31/2021,WA,166265
05/08/2021,HI,597235
08/15/2021,DE,534873
02/06/2021,MA,220332
04/17/2021,GA,2126766
08/07/2021,SC,2141085
11/28/2021,NV,1682388
10/11/2021,FM,39760
11/02/2021,MD,4015977
04/05/2021,AZ,1561328
11/04/2021,WI,3426271
01/16/2021,NE,17638
04/01/2021,FM,10157
06/10/2021,GU,85078
12/15/2021,NM,1368664
04/06/2021,MN,1408333
05/10/2021,LA,1448378
01/30/2021,OK,114746
08/23/2021,MD,3706787
06/13/2021,IL,6325214
12/19/2020,MA,10
01/19/2021,MH,4
07/08/2021,DC,396522
02/12/2021,PR,188522
08/12/2021,TN,2790449
06/03/2021,DE,458520
12/26/2020,MH,1
04/30/2021,DE,356292
10/05/2021,SD,459897
08/14/2021,MD,3660254
07/16/2021,ND,322426
11/02/2021,IA,1767041
04/10/2021,WY,141539
01/26/2021,NH,24762
10/06/2021,FL,12619998
09/14/2021,AR,1371902
10/29/2021,NC,5596034
05/27/2021,ID,613120
09/12/2021,MS,1254763
04/26/2021,NC,3334204
08/22/2021,LA,1908347
06/21/2021,HI,733248
08/25/2021,IA,1641552
12/24/2020,NH,2
04/27/2021,DE,338549
08/20/2021,GA,4265428
08/26/2021,DC,417967
01/09/2021,MS,6127
05/03/2021,NY,7645894
06/01/2021,IL,5942688
06/07/2021,NY,9972282
08/10/2021,NE,984774
12/01/2021,CO,3674522
08/15/2021,LA,1841006
06/16/2021,VA,4436422
07/12/2021,VA,4679364
03/03/2021,MS,269013
04/20/2021,GA,2272527
08/01/2021,NV,1386286
07/01/2021,TN,2622453
10/25/2021,PA,7282788
12/04/2021,RP,15839
09/03/2021,SD,439669
03/07/2021,DE,117895
05/28/2021,NM,1011450
11/21/2021,VA,5529334
12/24/2020,LA,492
07/23/2021,MD,3568359
01/09/2021,HI,5696
11/17/2021,AK,395517
07/25/2021,MN,3161327
10/01/2021,CO,3478561
05/13/2021,MN,2518842
05/25/2021,MD,2964233
10/30/2021,MS,1376453
03/04/2021,PA,1189329
09/14/2021,VT,437622
03/08/2021,UT,326868
07/05/2021,CA,20418868
12/14/2021,MO,3211879
03/03/2021,IA,261996
05/14/2021,SC,1724329
11/06/2021,IA,1771835
12/09/2021,MT,565792
05/07/2021,SC,1650872
10/01/2021,TX,15090870
09/23/2021,GA,4737125
02/21/2021,OR,314329
02/25/2021,DE,85443
12/07/2021,VI,52764
09/24/2021,IN,3268814
03/17/2021,NV,402544
07/11/2021,VA,4671817
11/30/2021,CO,3667261
12/19/2020,NY,212
10/11/2021,NJ,5841234
01/24/2021,NJ,95995
09/21/2021,IN,3253366
12/18/2020,IA,12
01/07/2021,NJ,9928
03/08/2021,IA,347720
01/23/2021,MI,130110
07/04/2021,NV,1320765
01/16/2021,RI,10504
11/15/2021,MD,4053035
03/20/2021,KS,454851
12/02/2021,PA,7581803
04/28/2021,WY,169771
11/30/2021,IL,7874093
09/21/2021,MO,2957182
08/11/2021,MT,489322
09/28/2021,MN,3401396
03/26/2021,GU,34877
08/12/2021,ME,880418
10/14/2021,CT,2501559
07/20/2021,SC,2084612
05/22/2021,SC,1793538
02/07/2021,MT,48390
09/24/2021,MH,19915
06/09/2021,ND,303448
02/10/2021,MN,234304
06/04/2021,MP,23261
06/07/2021,US,148943632
12/14/2020,CT,33
09/13/2021,VA,5124446
12/23/2020,TX,1253
12/31/2020,GU,2
10/05/2021,AK,380661
12/10/2021,FL,13419973
11/20/2021,OR,2699050
01/06/2021,KS,6026
10/10/2021,GA,4923904
12/08/2021,NE,1134466
04/14/2021,AK,253479
07/31/2021,WY,219260
05/19/2021,AS,19166
06/30/2021,VT,417984
